state,county,fips,adult_pop,observed_distress,loneliness_rate,mh_providers,access_to_exercise,social_associations,air_pollution,uninsured,unemployment_rate,median_household_income,rucc_code
NC,Perquimans,37143,"10,937",15.9,31.4,0.0006092917,0.2221453287,9.5119631229,6.5,0.1385002798,0.0530679934,53760,8
NC,Lincoln,37109,"76,148",16.2,31.3,0.0007806401,0.6230618592,12.145703032,9.3,0.147726201,0.0407092166,73319,1
NC,Cherokee,37039,"25,195",15.7,29.8,0.0014056982,0.9854382429,10.318852544,7.4,0.1754351266,0.0496601208,44211,9
NC,Swain,37173,"10,906",19.2,34.0,0.003254103,0.9735071191,8.4632202553,7.2,0.2868041483,0.0450753695,47838,9
NC,Pamlico,37137,"10,683",15.0,30.5,0.0009721322,0.5760834148,11.797090051,6.0,0.1645326504,0.0428625378,53732,9
NC,Gates,37073,"8,363",17.3,33.4,,0.2694216454,10.467550593,7.0,0.1223654284,0.0431190812,59762,1
NC,Ashe,37009,"22,627",16.2,30.6,0.0016472614,0.5747450803,8.8345726275,6.6,0.1625472136,0.0397177739,45551,9
NC,Jones,37103,"7,647",17.6,32.5,0.0005402485,0.4840819887,7.5675675676,6.4,0.1980444785,0.0423586041,47616,8
NC,Stanly,37167,"51,434",17.6,32.4,0.0022230981,0.7672468962,16.60367811,9.0,0.1550740844,0.0436363636,57465,6
NC,Columbus,37047,"39,774",18.3,34.4,0.0016569512,0.3926476108,8.2185776382,6.9,0.197214904,0.0627678571,41206,6
NC,Bladen,37017,"23,400",17.4,33.7,0.0009822185,0.4653448625,13.369390173,7.0,0.188494695,0.058074949,42398,8
NC,Hoke,37093,"39,888",19.0,35.6,0.0018074331,0.6224031335,5.1943399606,7.9,0.1897816697,0.0644901249,54948,2
NC,Davidson,37057,"137,346",17.5,31.5,0.0011720787,0.591067306,10.045262772,8.9,0.1783231494,0.0453654651,53473,2
NC,Richmond,37153,"32,370",19.1,34.4,0.0023171988,0.3985237275,15.113236488,8.2,0.1880214421,0.0731782373,42158,4
NC,Mecklenburg,37119,"901,633",15.7,32.6,0.0036550724,0.895756274,9.1944248834,9.5,0.1493318675,0.0489426304,75138,1
NC,Chatham,37037,"66,141",13.8,27.8,0.0015920091,0.7111620895,10.429318266,8.7,0.1403999036,0.0356269743,82764,2
NC,Henderson,37089,"97,324",14.9,28.9,0.0024565818,0.8322769842,10.468994048,7.2,0.1800468137,0.0406885759,60384,2
NC,Wake,37183,"919,538",14.7,31.4,0.0036810861,0.8956676495,9.7768113817,10.2,0.1139725267,0.0397628957,91558,1
NC,Montgomery,37123,"20,705",17.1,33.2,0.0015505078,0.8307250204,8.8112196196,7.9,0.1966541482,0.0467586708,52897,8
NC,Rockingham,37157,"73,816",17.8,33.7,0.0014463217,0.7092408009,15.227036205,8.2,0.1614601083,0.0553209131,46868,2
NC,Person,37145,"31,541",17.3,32.6,0.0009967542,0.4431286288,13.775829681,8.0,0.1427525937,0.0495441719,55287,2
NC,Johnston,37101,"182,582",16.9,32.1,0.0010198495,0.6861189172,8.1851224994,8.1,0.1537990149,0.0419744597,69889,1
NC,Hertford,37091,"15,694",18.2,35.5,0.0023498449,0.5201837416,13.848018002,7.3,0.1481122089,0.0652735384,40461,8
NC,Scotland,37165,"26,528",19.7,36.8,0.0020159523,0.636039094,11.548344256,7.8,0.1834706049,0.0950793079,44060,6
NC,Guilford,37081,"430,053",16.8,33.8,0.0032097491,0.9087713075,11.007897936,6.8,0.1473290429,0.0561111547,60915,2
NC,McDowell,37111,"36,301",17.4,32.1,0.0020126574,0.7171474718,14.197719628,7.2,0.1605307563,0.0450685826,50476,6
NC,Warren,37185,"15,503",17.2,34.1,0.0006928899,0.2899367021,13.31830755,8.0,0.2035934188,0.0770545285,44794,8
NC,Transylvania,37175,"28,383",14.5,28.7,0.003135836,0.8495119141,16.522696968,6.8,0.1827566648,0.0409190838,61737,6
NC,Yancey,37199,"15,582",16.6,30.7,0.002239164,1.0,8.2877507045,6.3,0.1717834781,0.0429179179,46299,8
NC,Anson,37007,"17,493",18.9,35.4,0.0009972801,0.3701654954,10.374735444,8.4,0.1555952196,0.0634952032,40773,1
NC,Camden,37029,"8,653",16.1,30.7,0.000369174,0.3151134718,10.014566642,6.6,0.1509603842,0.0394328755,79162,1
NC,Orange,37135,"122,940",15.3,31.8,0.0074420354,0.8334924948,9.5252788827,8.5,0.100328372,0.0345471522,79814,2
NC,Gaston,37071,"184,354",17.4,33.2,0.0027376373,0.7587730266,12.711415557,9.5,0.1568564012,0.051933864,56017,1
NC,Craven,37049,"80,675",16.7,33.9,0.0026918569,0.731423749,12.248970197,6.5,0.1597386195,0.0467893741,57628,4
NC,Graham,37075,"6,517",16.8,32.2,0.0009946537,1.0,11.800802455,6.6,0.2169608265,0.0688285903,43647,9
NC,Pitt,37147,"137,875",18.2,35.0,0.0044316921,0.7847782288,9.6761496578,6.7,0.1489594939,0.0504143884,48116,3
NC,Avery,37011,"15,011",16.8,30.6,0.0048701299,1.0,18.211826305,6.4,0.1903344022,0.0394308943,48470,9
NC,Alleghany,37005,"9,426",16.4,30.5,0.0023531541,0.3693056576,10.720028587,6.9,0.1979459997,0.0461647727,45239,9
NC,Halifax,37083,"37,177",18.4,35.9,0.0017815711,0.51637119,10.913720973,7.9,0.1716220306,0.0746649982,38944,4
NC,Robeson,37155,"86,828",20.1,33.4,0.0025961076,0.4228953917,11.000084616,7.8,0.2555927591,0.075664112,38613,4
NC,Catawba,37035,"129,398",16.7,33.1,0.0024919152,0.5977336405,14.160329867,8.3,0.1624499251,0.0466290738,59841,2
NC,Mitchell,37121,"12,283",16.2,30.5,0.0012029673,1.0,16.79994624,5.5,0.1530810286,0.0514507422,49086,8
NC,Franklin,37069,"60,292",16.8,33.7,0.0011575527,0.6152129847,8.0713619728,8.5,0.1739223117,0.0470298573,63687,1
NC,Sampson,37163,"44,966",18.1,35.3,0.0004746567,0.4397147503,13.25297403,7.7,0.2237867668,0.0449708822,48267,6
NC,Macon,37113,"31,394",15.8,29.4,0.002289426,1.0,16.391620826,6.9,0.1898128456,0.0421328099,49406,7
NC,Caldwell,37027,"64,820",17.6,31.6,0.0009072493,0.7978475425,12.545676005,8.1,0.1718040571,0.049411228,44705,2
NC,Yadkin,37197,"30,051",17.3,31.7,0.0008604001,0.518622024,13.820598007,8.6,0.1831017991,0.0422617654,56547,2
NC,Onslow,37133,"160,933",18.9,36.0,0.0025902212,0.5580273346,6.3743300824,6.3,0.142257352,0.0512986015,55645,3
NC,Pasquotank,37139,"32,807",17.1,33.3,0.0024742167,0.418359298,10.898642624,6.6,0.161105858,0.0538315,51365,4
NC,Jackson,37099,"37,282",18.3,34.4,0.0046763419,0.9874736134,13.171939227,6.6,0.2393080049,0.0450020525,50652,7
NC,Wayne,37191,"90,368",17.9,32.9,0.0024307784,0.5580186307,13.632660305,7.8,0.1874713959,0.0502467741,49955,3
NC,Tyrrell,37177,"2,772",17.0,33.3,0.0003073141,0.8835130971,15.898251192,5.8,0.2168809391,0.0701480904,39970,9
NC,Brunswick,37019,"137,936",14.0,28.3,0.0011510592,0.7816420738,7.5148115594,6.3,0.1345623552,0.0599442465,67286,2
NC,Harnett,37085,"105,764",18.1,33.6,0.0009928953,0.5730489339,7.5150666141,8.5,0.1567402402,0.052868179,61701,4
NC,Beaufort,37013,"35,939",16.5,32.5,0.0019114869,0.6259965959,11.259108194,6.6,0.1648990096,0.0480176664,50312,6
NC,Union,37179,"191,719",15.8,30.8,0.0013626215,0.7361069724,8.1369959356,9.1,0.1337104812,0.0390755961,87553,1
NC,Nash,37127,"75,392",17.2,33.1,0.0014394385,0.5541539434,11.596158509,8.1,0.1603292826,0.0632492864,55956,3
NC,Rutherford,37161,"52,439",17.7,31.8,0.0016876723,0.3773198436,18.784662174,8.3,0.1661906273,0.0646985447,44477,4
NC,Iredell,37097,"155,704",15.9,31.2,0.0022764211,0.7146973909,11.035150993,9.5,0.1526541436,0.0461007946,69734,1
NC,Currituck,37053,"24,619",15.8,29.8,0.0005395744,0.7638790036,9.9821010602,6.6,0.1377765173,0.0410130144,82759,1
NC,Polk,37149,"17,006",14.5,28.8,0.0018823769,0.6118067053,16.167379933,7.8,0.1625022965,0.0467382877,58064,8
NC,Madison,37115,"18,349",16.3,30.7,0.001999814,0.9001557118,8.2796688132,6.6,0.1479813283,0.0427101735,51849,2
NC,Clay,37043,"10,069",14.7,29.2,0.0014148024,0.9979258725,12.168622338,7.0,0.1887563884,0.0491183879,51537,9
NC,Burke,37023,"72,201",17.3,32.8,0.0031274612,0.5979102432,13.714083479,8.2,0.1815747794,0.0454105542,53758,2
NC,Alexander,37003,"29,341",17.5,32.5,0.0006276607,0.472560641,14.689778585,8.4,0.1491019671,0.0422380374,52989,2
NC,Caswell,37033,"18,569",17.2,33.9,0.0004402571,0.3974313863,13.812770129,8.0,0.1610873395,0.0530982793,50879,8
NC,Northampton,37131,"13,758",16.5,33.6,0.0008173273,0.2029649133,14.145012573,7.9,0.1356727532,0.0622736138,40524,9
NC,Watauga,37189,"48,121",19.0,33.9,0.0048309179,0.8649927893,13.28821247,6.7,0.1487417528,0.0365909491,55183,5
NC,Wilson,37195,"60,928",18.1,33.3,0.0020671439,0.6813820065,9.7585967138,7.9,0.1869780423,0.0673266734,48777,4
NC,Granville,37077,"49,581",17.0,33.1,0.0036943826,0.4784725866,11.73825348,8.4,0.156182466,0.0398429302,62715,6
NC,Surry,37171,"56,528",17.7,32.0,0.0013070609,0.4754410796,12.694781189,8.1,0.1766234397,0.0435162913,51820,6
NC,Stokes,37169,"37,073",16.9,32.1,0.0005835746,0.5468553459,7.8700566207,8.2,0.1626342587,0.0421944947,57763,2
NC,Durham,37063,"271,458",15.3,32.3,0.0071598094,0.8974272934,10.173965647,8.1,0.1591490755,0.040983091,71436,2
NC,Forsyth,37067,"304,926",16.4,33.0,0.0035406448,0.7802451711,10.707502807,9.5,0.1518623348,0.0490322159,60228,2
NC,Buncombe,37021,"227,608",15.3,29.9,0.007534968,0.7483113876,12.448904458,6.2,0.1728696947,0.0419106249,63838,2
NC,Lee,37105,"51,479",17.5,34.1,0.0019177399,0.7480129573,14.433948647,8.4,0.1950689511,0.053945186,56679,4
NC,Pender,37141,"53,105",16.5,31.5,0.001416859,0.6208162384,8.0406983037,6.1,0.1478841276,0.0421454621,69555,2
NC,Lenoir,37107,"42,399",18.5,34.0,0.001517201,0.6411777512,13.99856425,7.1,0.1667368694,0.0495351432,44244,4
NC,Cumberland,37051,"252,626",18.4,36.9,0.0041638351,0.7814643531,8.9486389744,7.4,0.1516905903,0.0687921472,52463,2
NC,Chowan,37041,"11,123",16.7,32.9,0.0012388865,0.327837759,13.029315961,6.6,0.1295491581,0.0493647913,48568,8
